code,registers,us_campaign,us_filed,ca_recall,ca_filed,eu_case,eu_published,eu_notifying_country,eu_reference
0620,2,15V217,2015-04-13,2015151,2015-04-13,,,,
0628,2,24V719,2024-09-26,2024756,2024-10-02,,,,
0635,3,22V781,2022-10-18,2022614,2022-10-27,A12/00514/23,17/03/2023,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007252
0638,2,25E023,2025-04-08,2025187,2025-04-09,,,,
1003,3,24V601,2024-08-12,2024469,2024-08-13,A12/02738/24,04/10/2024,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10045192
01320,2,15V666,2015-10-16,2015481,2015-10-16,,,,
11008,2,,,2011223,2011-06-09,A12/00469/20,27/03/2020,Germany,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10000897
12162,2,15V245,2015-04-24,2013043,2013-02-06,,,,
12212,2,12V484,2012-10-04,2014310,2014-07-23,,,,
12238,2,24V230,2024-03-25,2024207,2024-04-02,,,,
12530,2,13V231,2013-06-04,2012391,2012-11-21,,,,
13026,2,13V613,2013-12-06,2013433,2013-12-06,,,,
13036,2,14V252,2014-05-14,2014173,2014-05-16,,,,
13139,2,13V225,2013-05-15,2013206,2013-06-12,,,,
13146,2,14V251,2014-05-14,2014174,2014-05-16,,,,
13420,2,13V615,2013-12-11,2013438,2013-12-13,,,,
13442,2,13E073,2013-12-20,2013456,2013-12-20,,,,
13C09,2,13V594,2013-11-25,2013425,2013-11-27,,,,
13KWM,2,13V612,2013-12-05,2013432,2013-12-05,,,,
13S13,2,14V002,2014-01-06,2014001,2014-01-02,,,,
13S14,2,14E001,2014-01-06,2014002,2014-01-08,,,,
14001,2,14V022,2014-01-28,2014210,2014-06-05,,,,
14007,2,14V223,2014-04-30,2014165,2014-05-07,,,,
14008,2,14V007,2014-01-13,2014005,2014-01-13,,,,
14013,2,14V513,2014-08-20,2014364,2014-08-22,,,,
14017,2,14V623,2014-10-06,2014019,2014-01-23,,,,
14019,2,14V630,2014-10-08,2014444,2014-10-09,,,,
